Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Daniel Wellington,30.0,0,1,0,0,269.0
Michael Kors,30.0,1,1,0,0,270.0
Michael Kors,50.0,0,1,0,0,274.0
Hugo Boss,50.0,1,1,0,0,375.0
Seiko,100.0,1,1,1,0,777.0
Daniel Wellington,30.0,0,1,0,0,278.0
Casio,30.0,0,1,0,0,178.0
Hugo Boss,30.0,1,1,1,0,379.0
Hugo Boss,50.0,1,1,1,0,380.0
Casio,50.0,0,1,0,0,187.0
Casio,50.0,0,1,0,0,188.0
Casio,100.0,1,1,0,0,188.0
Casio,50.0,0,1,0,0,193.0
Casio,30.0,0,1,0,0,194.0
Casio,50.0,1,1,0,0,194.0
Casio,0.0,0,1,0,0,194.0
Casio,200.0,1,2,0,0,395.0
Michael Kors,100.0,0,1,1,1,295.0
Michael Kors,100.0,1,1,1,0,295.0
Michael Kors,50.0,1,1,1,0,296.0
Casio,30.0,1,1,0,0,198.0
Tissot,100.0,1,1,1,0,1299.0
Tissot,30.0,1,1,0,0,1206.0
Emporio Armani,50.0,1,1,1,0,409.0
Casio,50.0,0,1,0,0,214.0
Casio,0.0,0,1,0,0,216.0
Michael Kors,50.0,0,1,0,0,325.0
Casio,200.0,1,2,1,0,434.0
Calvin Klein,30.0,1,1,0,0,334.0
OBAKU,30.0,0,1,0,0,339.0
Casio,200.0,1,2,0,0,440.0
Emporio Armani,50.0,1,1,1,0,340.0
Tommy Hilfiger,30.0,0,1,1,0,345.0
Daniel Wellington,30.0,0,1,0,0,247.0
Emporio Armani,0.0,1,1,1,0,348.0
Daniel Wellington,30.0,0,1,0,0,248.0
Hugo Boss,0.0,1,1,1,0,449.0
Emporio Armani,50.0,1,1,1,1,349.0
Citizen,100.0,1,1,1,0,650.0
Casio,100.0,0,1,0,0,250.0
Casio,50.0,1,1,0,0,254.0
Tissot,50.0,1,1,0,0,1264.0
Bering,0.0,0,1,0,0,373.0
Daniel Wellington,30.0,0,1,0,0,274.0
Daniel Wellington,30.0,0,1,0,0,275.0
Casio,200.0,0,2,0,0,379.0
Cluse,50.0,0,1,0,0,279.0
Michael Kors,50.0,0,1,1,0,279.0
Emporio Armani,50.0,1,1,1,0,380.0
OBAKU,30.0,0,1,0,0,280.0
Casio,200.0,1,0,1,0,284.0
Emporio Armani,50.0,1,1,1,0,385.0
Emporio Armani,30.0,1,1,1,0,387.0
Casio,200.0,1,2,0,0,489.0
Tommy Hilfiger,30.0,1,1,1,0,389.0
Hugo Boss,50.0,1,1,1,0,392.0
Michael Kors,100.0,0,1,1,0,294.0
Michael Kors,30.0,0,1,0,1,294.0
Daniel Wellington,30.0,1,1,0,0,295.0
Michael Kors,30.0,0,1,0,0,295.0
